1282	Muiriel is 20 now.	599257	مۇرەل يىگىرمە ياشقا كىرىپ قالدى.
1299	I make €100 a day.	413661	بىر كۈندە 100 ياۋرو تاپىمەن.
1302	That won't happen.	528996	ئۇ ئىش يۈز بەرمەيدۇ.
1421	No one will know.	406237	ھېچكىم بىلمەيدۇ.
1427	No, he's not my new boyfriend.	488930	ياق، يېڭى ئوغۇل دوستۇم ئەمەس.
1434	I love you.	392668	سېنى ياخشى كۆرىمەن.
1437	Congratulations!	393261	مۇبارەك بولسۇن.
1453	Everyone has strengths and weaknesses.	427162	ھەركىمنىڭ ئارتۇقچىلىقىمۇ، ئاجىزلىقىمۇ بار.
1482	I don't speak Japanese.	396085	ياپونچە بىلمەيمەن.
1527	"I feel like playing cards." "So do I."	531909	«قارتا ئوينىغۇم بار.» «مەندىمۇ بار.»
1539	How do you spell "pretty"?	406240	«pretty» قانداق يازىدۇ؟
1558	People from Madrid are weird.	403345	مادرىدلىقلار غەلىتە.
1563	Are they all the same?	493746	ئۇلار ھەممىسى بىر خىلمۇ؟
1564	Thank you very much!	393916	كاتتا رەھمەت!
1579	Oh, I'm sorry.	396759	ۋاي، كەچۈرۈڭ!
1590	Do you speak Italian?	401210	ئىتاليانچە سۆزلەلەمسەن؟
1594	May I ask a question?	412888	مەن بىر سوئال سورىسام بولامدۇ؟
1594	May I ask a question?	412889	بىر سوئال سورىسام بولامدۇ؟
1646	My name is Jack.	466253	مېنىڭ ئىسمىم جەك.
1652	These things aren't mine!	501545	بۇلار بىر نەچچە نەرسە مېنىڭ ئەمەس!
1666	I have lost my wallet.	408294	ھەميانىمنى يوقالغانىدىم.
1674	There are too many things to do!	849035	ئىشلىرىم بەك جىق ئىكەن!
1705	I'm tired.	397736	ھېرىپ كەتتىم.
1712	I have a headache.	406241	مەن باش ئاغرىقىغا گىرىپتار بولۇپ قالدىم.
1719	It's too expensive!	477264	بۇ بەك قىممەت ئىكەن!
1736	He would be glad to hear that.	819527	ئۇ ئۇنى ئاڭلىسا خۇش بولىدۇ.
1765	I'm undressing.	1012240	كىيىمىمنى سېلىۋاتىمەن.
1775	Where there's a will, there's a way.	913306	سەۋەب قىلساڭ سېۋەتتە سۇ توختار.
1814	I'm thirsty.	396804	ئۇسسىدىم.
1862	It is raining.	405712	يامغۇر يېغىۋاتىدۇ.
1889	How many times a day do you look at yourself in the mirror?	3288723	ئۆزۈڭنى كۆرۈش ئۈچۈن كۈندە قانچە قېتىم ئەينەككە قارايسەن؟
1890	We went to London last year.	482591	ئۆتكەن يىلىدا لوندونغا بارغانىدۇق.
1890	We went to London last year.	482593	بىز ئۆتكەن يىلىدا لوندونغا بارغان.
2075	I have class tomorrow.	406969	ئەتە دەرس ئوقۇشۇم كېرەك.
2076	I can't believe it!	482595	ئىشەنمەيمەن!
2077	"Thank you." "You're welcome."	572982	«رەھمەت ساڭا.» «ئەرزىمەيدۇ.»
2077	"Thank you." "You're welcome."	572983	«رەھمەت سىزگە.» «ئەرزىمەيدۇ.»
2077	"Thank you." "You're welcome."	572984	«رەھمەت سىلەرگە.» «ئەرزىمەيدۇ.»
